pos=80546c80 len=584 sym=GDSetTevColorCalc
pos=80546ed0 len=636 sym=GDSetTevAlphaCalcAndSwap
pos=80547150 len=756 sym=GDSetTevColor
pos=80547450 len=264 sym=GDSetAlphaCompare
pos=80547930 len=248 sym=GDSetTexImgAttr
pos=80547a30 len=232 sym=GDSetTexImgPtr
pos=80547b20 len=980 sym=GDSetCurrentMtx
pos=80547f00 len=144 sym=KPADSetBtnRepeat
pos=80547f90 len=28 sym=KPADSetPosParam
pos=80547fb0 len=28 sym=KPADSetHoriParam
pos=80547fd0 len=28 sym=KPADSetDistParam
pos=80547ff0 len=28 sym=KPADSetAccParam
pos=80548010 len=436 sym=reset_kpad
pos=805481d0 len=24 sym=KPADIsEnableAimingMode
pos=805481f0 len=208 sym=KPADSetSensorHeight
pos=805482c0 len=24 sym=KPADGetSensorHeight
pos=805482e0 len=424 sym=calc_button_repeat
pos=80548490 len=180 sym=read_kpad_button
pos=80548550 len=180 sym=calc_acc
pos=80548610 len=404 sym=calc_acc_horizon
pos=805487b0 len=292 sym=calc_acc_vertical
pos=80548e70 len=488 sym=select_2obj_first
pos=80549060 len=552 sym=select_2obj_continue
pos=80549290 len=436 sym=select_1obj_first
pos=80549450 len=372 sym=select_1obj_continue
pos=805495d0 len=1492 sym=calc_dpd_variable
pos=80549bb0 len=1212 sym=read_kpad_dpd
pos=8054a070 len=296 sym=clamp_stick_circle
pos=8054a1a0 len=548 sym=clamp_stick_cross
pos=8054b3a0 len=160 sym=KPADiMplsSamplingCallback
pos=8054c2d0 len=88 sym=KPADSetConnectCallback
pos=8054c330 len=28 sym=KPADiControlWbcCallback
pos=8054c350 len=44 sym=KPADiUpdateTempWbcCallback
pos=8054c420 len=220 sym=KPADiControlMplsCallback
pos=8054d070 len=284 sym=dpd_revise_scale
pos=8054d190 len=432 sym=move_mpls_orient
pos=8054d5f0 len=908 sym=revise_dir_dpd
pos=8054d980 len=704 sym=calc_mpls_dir
pos=8054dc40 len=232 sym=get_mpls_data_x
pos=8054dd30 len=232 sym=get_mpls_data_y
pos=8054de20 len=232 sym=get_mpls_data_z
pos=8054df10 len=2752 sym=read_mpls
pos=8054eb70 len=36 sym=KMPLSSetKpadRingBuffer
pos=8054efd0 len=20 sym=KMPLSSetSamplingCallback
pos=8054f040 len=136 sym=__KMPLS_normalize_Fxyz
pos=8054f0d0 len=876 sym=__KMPLS_normalize_directionXYZ
pos=8054f440 len=776 sym=__KMPLS_make_vec_dir
pos=8054f750 len=436 sym=__KMPLS_mult_dir
pos=8054fb20 len=32 sym=TPLGet
pos=805501f0 len=780 sym=RSOStaticLocateObject
pos=80550500 len=304 sym=RSOLink
pos=80550630 len=500 sym=FindExportIndex
pos=80550830 len=96 sym=RSOFindExportSymbolAddr
pos=80550890 len=460 sym=RSORelocate
pos=80550a60 len=568 sym=RSORelocateSmallDataSection
pos=80550ca0 len=112 sym=RSOListInit
pos=80550d10 len=220 sym=LinkList
pos=80550e00 len=264 sym=cnvJumpCode
pos=80550f10 len=16 sym=RSOGetJumpCodeSize
pos=80550f20 len=432 sym=RSOMakeJumpCode
pos=8055b0a8 len=960 sym=NETMemCpy
pos=8055b468 len=260 sym=NETMemSet
pos=8055b5c0 len=48 sym=STD_strnlen
pos=8055b648 len=96 sym=Mail_strncat
pos=8055b6a8 len=1384 sym=convNum
pos=8055c15c len=244 sym=NWC24FOpen
pos=8055c250 len=312 sym=NWC24iFOpenNand
pos=8055c388 len=296 sym=NWC24iFOpenVF
pos=8055c4b0 len=232 sym=NWC24FClose
pos=8055c598 len=176 sym=NWC24iFCloseNand
pos=8055c648 len=496 sym=NWC24FSeek
pos=8055c838 len=464 sym=NWC24FRead
pos=8055cbe0 len=188 sym=NWC24FGetLength
pos=8055cc9c len=144 sym=NWC24FDeleteVF
pos=8055cd2c len=264 sym=NWC24MountVF
pos=8055ce34 len=128 sym=NWC24UnmountVF
pos=8055ceb4 len=148 sym=NWC24CheckSizeVF
pos=8055cf48 len=404 sym=BufferedWrite
pos=8055d5a0 len=120 sym=NWC24iConfigOpen
pos=8055d618 len=244 sym=NWC24iConfigReload
pos=8055d70c len=384 sym=NWC24iConfigFlush
pos=8055d898 len=112 sym=NWC24GetMBoxDir
pos=8055d908 len=76 sym=NWC24GetAppId
pos=8055d954 len=164 sym=NWC24GetGroupId
pos=8055d9f8 len=236 sym=CheckConfig
pos=8055db00 len=48 sym=NWC24Date_Init
pos=8055dd64 len=460 sym=NWC24OpenLibInternal
pos=8055dfd8 len=160 sym=NWC24BlockOpenMsgLib
pos=8055e078 len=20 sym=NWC24iSetNewMsgArrived
pos=8055e28c len=100 sym=NWC24SetMsgToId
pos=8055e2f0 len=312 sym=NWC24SetMsgText
pos=8055e428 len=616 sym=NWC24SetMsgAttached
pos=8055e690 len=64 sym=NWC24SetMsgTag
pos=8055e6d0 len=132 sym=NWC24SetMsgAltName
pos=8055e754 len=88 sym=NWC24SetMsgMBNoReply
pos=8055e7ac len=188 sym=NWC24SetMsgMBDelay
pos=8055e934 len=84 sym=NWC24SetMsgLedPattern
pos=8055e988 len=36 sym=NWC24GetMsgSize
pos=8055e99c len=16 sym=NWC24GetMsgRawSize
pos=8055ea48 len=404 sym=NWC24iOpenMBox
pos=8055ebdc len=420 sym=NWC24iMBoxOpenNewMsg
pos=8055ed80 len=180 sym=NWC24iMBoxCloseMsg
pos=8055ee34 len=516 sym=NWC24iMBoxCancelMsg
pos=8055f038 len=460 sym=NWC24iMBoxAddMsgObj
pos=8055f354 len=272 sym=NWC24iMBoxCheck
pos=8055f464 len=1184 sym=DeleteMsg
pos=8055f904 len=888 sym=DuplicationCheck
pos=8055fc7c len=516 sym=GetCachedMBCHeader
pos=8055fe80 len=332 sym=AddMBCEntry
pos=8055ffcc len=236 sym=ClearMBCEntry
pos=805600b8 len=396 sym=MountVFMBox
pos=80560244 len=428 sym=CopyMsgObjToMBCFmt
pos=80560524 len=28 sym=NWC24Base64Encode
pos=80560540 len=736 sym=NWC24InitBase64Table
pos=80560820 len=812 sym=QEncode
pos=80560be4 len=72 sym=NWC24GetCharsetStr
pos=80560c2c len=72 sym=NWC24GetEncodingStr
pos=80560c74 len=200 sym=NWC24CommitMsg
pos=80560d3c len=3352 sym=NWC24CommitMsgInternal
pos=80561a54 len=208 sym=CorrectHeadersForMBDelay
pos=80561b24 len=160 sym=CheckMsgObject
pos=80561bc4 len=892 sym=CheckMsgBoxSpace
pos=80561f40 len=272 sym=SynthesizeAddrStr
pos=80562050 len=232 sym=WriteSMTP_MAILFROM
pos=80562138 len=280 sym=WriteSMTP_RCPTTO
pos=80562250 len=256 sym=WriteFromField
pos=80562350 len=360 sym=WriteToField
pos=805624b8 len=312 sym=WriteDateField
pos=805625f0 len=284 sym=WriteXWiiAppIdField
pos=8056270c len=256 sym=WriteXWiiFaceField
pos=8056280c len=256 sym=WriteXWiiAltNameField
pos=8056290c len=368 sym=WriteMIMEAttachHeader
pos=80562a7c len=308 sym=WriteContentTypeField
pos=80562bb0 len=192 sym=WritePlainText
pos=80562c70 len=356 sym=WriteBase64Data
pos=80562f94 len=240 sym=NWC24ResumeScheduler
pos=80563084 len=416 sym=NWC24iSetScriptMode
pos=80563224 len=444 sym=NWC24iRequestGenerateUserId
pos=805633e0 len=224 sym=NWC24iTrySuspendForOpenLib
pos=805634c0 len=204 sym=NWC24iResumeForCloseLib
pos=8056359c len=396 sym=ExecTrySuspendScheduler
pos=80563898 len=168 sym=NWC24iDateToMinutes
