pos=80272af0 len=296 sym=__OSFPRInit
pos=80272c20 len=108 sym=__OSGetIOSRev
pos=80272c90 len=596 sym=OSGetConsoleType
pos=80272ef0 len=476 sym=ClearArena
pos=802730d0 len=484 sym=ClearMEM2Arena
pos=802732c0 len=60 sym=InquiryCallback
pos=80273300 len=676 sym=ReportOSInfo
pos=80273d70 len=20 sym=__OSSetExceptionHandler
pos=80273d90 len=16 sym=__OSGetExceptionHandler
pos=80273da0 len=156 sym=OSExceptionVector
pos=80273e40 len=88 sym=OSDefaultExceptionHandler
pos=80273ea0 len=84 sym=__OSPSInit
pos=80273f00 len=16 sym=__OSGetDIConfig
pos=80273f20 len=132 sym=OSGetAppGamename
pos=80274040 len=592 sym=InsertAlarm
pos=80274290 len=112 sym=OSSetAlarm
pos=80274300 len=132 sym=OSSetPeriodicAlarm
pos=80274390 len=280 sym=OSCancelAlarm
pos=802744b0 len=556 sym=DecrementerExceptionCallback
pos=80274730 len=140 sym=OnReset
pos=802747e0 len=16 sym=__OSSetInternalAlarmUserData
pos=802748a0 len=176 sym=DLInsert
pos=80274a50 len=120 sym=OSFreeToHeap
pos=80274ae0 len=112 sym=OSInitAlloc
pos=80274b50 len=112 sym=OSCreateHeap
pos=802751c0 len=20 sym=DCEnable
pos=802751e0 len=44 sym=DCInvalidateRange
pos=80275210 len=48 sym=DCFlushRange
pos=80275240 len=48 sym=DCStoreRange
pos=80275270 len=44 sym=DCFlushRangeNoSync
pos=802752a0 len=44 sym=DCStoreRangeNoSync
pos=802752d0 len=44 sym=DCZeroRange
pos=80275300 len=52 sym=ICInvalidateRange
pos=80275340 len=16 sym=ICFlashInvalidate
pos=80275350 len=20 sym=ICEnable
pos=80275370 len=204 sym=__LCEnable
pos=80275480 len=40 sym=LCDisable
pos=802754b0 len=36 sym=LCLoadBlocks
pos=802754e0 len=36 sym=LCStoreBlocks
pos=80275650 len=12 sym=LCQueueLength
pos=80275660 len=20 sym=LCQueueWait
pos=802758c0 len=292 sym=__OSLoadFPUContext
pos=802759f0 len=296 sym=__OSSaveFPUContext
pos=80275b30 len=92 sym=OSSetCurrentContext
pos=80275ba0 len=128 sym=OSSaveContext
pos=80275c20 len=216 sym=OSLoadContext
pos=80275d00 len=8 sym=OSGetStackPointer
pos=80275d10 len=48 sym=OSSwitchFiber
pos=80275d40 len=48 sym=OSSwitchFiberEx
pos=80275d70 len=36 sym=OSClearContext
pos=80275da0 len=188 sym=OSInitContext
pos=80275e60 len=608 sym=OSDumpContext
pos=802760c0 len=132 sym=OSSwitchFPUContext
pos=80276220 len=300 sym=OSPanic
pos=80276350 len=652 sym=OSSetErrorHandler
pos=80276a60 len=344 sym=Utf16ToArg
pos=80276bc0 len=460 sym=PackInstallerArgs
pos=80276d90 len=60 sym=Run
pos=80276de0 len=36 sym=__OSGetExecParams
pos=80276e20 len=2044 sym=__OSLaunchNextFirmware
pos=80277620 len=200 sym=__OSLaunchMenu
pos=802776f0 len=1876 sym=__OSBootDolSimple
pos=80277e50 len=480 sym=__OSBootDol
pos=80278360 len=288 sym=ConfigureVideo
pos=80278480 len=488 sym=OSFatal
pos=80278da0 len=424 sym=Decode
pos=80278f50 len=76 sym=OSGetFontEncode
pos=80278fa0 len=120 sym=OSSetFontEncode
pos=80279020 len=784 sym=ReadFont
pos=80279330 len=280 sym=OSLoadFont
pos=80279450 len=248 sym=ParseStringS
pos=80279550 len=436 sym=ParseStringW
pos=80279710 len=648 sym=OSGetFontTexel
pos=802799a0 len=620 sym=ExpandFontSheet
pos=80279c10 len=480 sym=OSInitFont
pos=80279df0 len=328 sym=OSGetFontTexture
pos=80279f40 len=176 sym=OSGetFontWidth
pos=80279ff0 len=20 sym=OSDisableInterrupts
pos=8027a010 len=20 sym=OSEnableInterrupts
pos=8027a030 len=36 sym=OSRestoreInterrupts
pos=8027a090 len=196 sym=__OSInterruptInit
pos=8027a160 len=604 sym=SetInterruptMask
pos=8027a3c0 len=128 sym=__OSMaskInterrupts
pos=8027a440 len=128 sym=__OSUnmaskInterrupts
pos=8027a4c0 len=680 sym=__OSDispatchInterrupt
pos=8027a7c0 len=24 sym=__OSModuleInit
pos=8027a840 len=200 sym=OSSendMessage
pos=8027a910 len=220 sym=OSReceiveMessage
pos=8027aac0 len=12 sym=OSGetPhysicalMem2Size
pos=8027aad0 len=12 sym=OSGetConsoleSimulatedMem1Size
pos=8027aae0 len=12 sym=OSGetConsoleSimulatedMem2Size
pos=8027ab30 len=72 sym=MEMIntrruptHandler
pos=8027ab80 len=128 sym=ConfigMEM1_24MB
pos=8027ac00 len=212 sym=ConfigMEM2_52MB
pos=8027ace0 len=212 sym=ConfigMEM2_56MB
pos=8027adc0 len=168 sym=ConfigMEM2_64MB
pos=8027ae70 len=212 sym=ConfigMEM2_112MB
pos=8027af50 len=168 sym=ConfigMEM2_128MB
pos=8027b020 len=288 sym=BATConfig
pos=8027b140 len=68 sym=__OSRestoreCodeExecOnMEM1
pos=8027b2a0 len=220 sym=OSLockMutex
pos=8027b380 len=200 sym=OSUnlockMutex
pos=8027b450 len=108 sym=__OSUnlockAllMutex
pos=8027b4c0 len=188 sym=OSTryLockMutex
pos=8027b590 len=220 sym=OSWaitCond
pos=8027b7a0 len=176 sym=__OSCallShutdownFunctions
pos=8027b850 len=384 sym=__OSShutdownDevices
pos=8027b9d0 len=284 sym=OSShutdownSystem
pos=8027baf0 len=212 sym=OSRestart
pos=8027bbd0 len=648 sym=__OSReturnToMenu
pos=8027be60 len=64 sym=OSReturnToMenu
pos=8027bea0 len=64 sym=OSReturnToDataManager
pos=8027bf90 len=88 sym=__OSHotResetForError
pos=8027bff0 len=48 sym=OSGetResetCode
pos=8027c020 len=28 sym=OSResetSystem
pos=8027c040 len=312 sym=WriteSramCallback
pos=8027c180 len=512 sym=__OSInitSram
pos=8027c380 len=736 sym=UnlockSram
pos=8027c670 len=292 sym=__OSReadROM
pos=8027c7a0 len=120 sym=OSGetWirelessID
pos=8027c820 len=156 sym=OSSetWirelessID
pos=8027c8c0 len=284 sym=__OSGetRTCFlags
pos=8027cb50 len=112 sym=OSWaitSemaphore
pos=8027cc20 len=32 sym=SystemCallVector
pos=8027ccb0 len=644 sym=__OSThreadInit
pos=8027cf50 len=12 sym=OSGetCurrentThread
pos=8027cf60 len=20 sym=OSIsThreadSuspended
pos=8027cf80 len=44 sym=OSIsThreadTerminated
pos=8027cfb0 len=60 sym=OSDisableScheduler
pos=8027cff0 len=60 sym=OSEnableScheduler
pos=8027d030 len=104 sym=UnsetRun
pos=8027d0a0 len=64 sym=__OSGetEffectivePriority
pos=8027d0e0 len=424 sym=SetEffectivePriority
pos=8027d290 len=80 sym=__OSPromoteThread
pos=8027d2e0 len=556 sym=SelectThread
pos=8027d510 len=24 sym=__OSReschedule
pos=8027d530 len=60 sym=OSYieldThread
pos=8027d570 len=620 sym=OSCreateThread
pos=8027d7e0 len=228 sym=OSExitThread
pos=8027d8d0 len=468 sym=OSCancelThread
pos=8027dab0 len=324 sym=OSJoinThread
pos=8027dc00 len=668 sym=OSResumeThread
pos=8027dea0 len=396 sym=OSSuspendThread
pos=8027e030 len=240 sym=OSSleepThread
pos=8027e120 len=248 sym=OSWakeupThread
pos=8027e220 len=128 sym=SleepAlarmHandler
pos=8027e350 len=24 sym=OSGetTime
pos=8027e370 len=8 sym=OSGetTick
pos=8027e380 len=100 sym=__OSGetSystemTime
pos=8027e3f0 len=88 sym=__OSTimeToSystemTime
pos=8027e450 len=812 sym=OSTicksToCalendarTime
pos=8027ea20 len=276 sym=OSUTF8to32
pos=8027eb40 len=112 sym=OSUTF16to32
pos=8027ec30 len=64 sym=OSUTF32toSJIS
pos=8027ee90 len=280 sym=__OSInitSTM
pos=8027efb0 len=124 sym=__OSShutdownToSBY
pos=8027f030 len=116 sym=__OSHotReset
pos=8027f0b0 len=248 sym=__OSSetVIForceDimming
pos=8027f1b0 len=64 sym=__OSSetIdleLEDMode
pos=8027f1f0 len=120 sym=__OSUnRegisterStateEvent
pos=8027f410 len=1204 sym=PlayRecordCallback
pos=8027f8d0 len=84 sym=__OSStartPlayRecord
pos=8027f930 len=492 sym=__OSStopPlayRecord
pos=8027fb20 len=228 sym=__OSWriteStateFlags
pos=8027feb0 len=344 sym=__OSWriteNandbootInfo
pos=80280030 len=444 sym=__OSPlayTimeFadeLastAIDCallback
pos=802801f0 len=276 sym=__OSWriteExpiredFlag
pos=80280330 len=236 sym=__OSPlayTimeRebootThread
pos=80280420 len=160 sym=__OSPlayTimeAlarmExpired
pos=802804c0 len=460 sym=__OSGetPlayTime
pos=80280930 len=516 sym=__OSRelaunchTitle
pos=80280bb0 len=76 sym=exit
pos=80280c00 len=44 sym=PSMTXIdentity
pos=80280c30 len=52 sym=PSMTXCopy
pos=80280c70 len=204 sym=PSMTXConcat
pos=80280d40 len=392 sym=PSMTXConcatArray
pos=80280ed0 len=80 sym=PSMTXTranspose
pos=80280f20 len=248 sym=PSMTXInverse
pos=80281020 len=200 sym=PSMTXInvXpose
pos=80281170 len=176 sym=PSMTXRotTrig
pos=80281220 len=176 sym=__PSMTXRotAxisRadInternal
pos=802812d0 len=124 sym=PSMTXRotAxisRad
pos=80281350 len=52 sym=PSMTXTrans
pos=80281390 len=76 sym=PSMTXTransApply
pos=802813e0 len=40 sym=PSMTXScale
pos=80281410 len=88 sym=PSMTXScaleApply
pos=80281470 len=164 sym=PSMTXQuat
pos=80281520 len=372 sym=C_MTXLookAt
pos=802816a0 len=164 sym=C_MTXLightFrustum
pos=80281750 len=248 sym=C_MTXLightPerspective
pos=802818e0 len=84 sym=PSMTXMultVec
pos=80281940 len=140 sym=PSMTXMultVecArray
pos=80281a70 len=236 sym=C_MTXPerspective
pos=80281b60 len=152 sym=C_MTXOrtho
pos=80281c00 len=36 sym=PSVECAdd
pos=80281c30 len=68 sym=PSVECNormalize
pos=80281c80 len=68 sym=PSVECMag
pos=80281cd0 len=32 sym=PSVECDotProduct
pos=80281cf0 len=60 sym=PSVECCrossProduct
pos=80281d30 len=216 sym=C_VECHalfAngle
pos=80281e10 len=40 sym=PSVECSquareDistance
pos=80281e40 len=36 sym=PSQUATAdd
pos=80281e70 len=92 sym=PSQUATMultiply
pos=80281ed0 len=28 sym=PSQUATScale
pos=80281ef0 len=32 sym=PSQUATDotProduct
pos=80281f10 len=84 sym=PSQUATNormalize
pos=80281fa0 len=776 sym=DVDConvertPathToEntrynum
pos=802822b0 len=104 sym=DVDFastOpen
pos=80282320 len=288 sym=DVDOpen
pos=80282590 len=208 sym=DVDReadAsyncPrio
pos=80282680 len=296 sym=DVDReadPrio
pos=80282890 len=340 sym=DVDInit
pos=802829f0 len=376 sym=stateReadingFST
pos=80282b70 len=388 sym=cbForStateReadingFST
pos=80282d10 len=272 sym=cbForStateError
pos=80282e40 len=60 sym=cbForStoreErrorCode2
pos=80282e80 len=244 sym=CategorizeError
pos=80282f80 len=196 sym=cbForStoreErrorCode3
pos=80283050 len=1284 sym=cbForStateGettingError
pos=80283560 len=480 sym=cbForUnrecoveredError
pos=80283740 len=212 sym=cbForUnrecoveredErrorRetry
pos=80283820 len=576 sym=cbForStateGoToRetry
pos=80283a60 len=824 sym=stateCheckID
pos=80283da0 len=416 sym=cbForStateReadingTOC
pos=80283f40 len=1148 sym=cbForStateReadingPartitionInfo
pos=802843c0 len=392 sym=cbForStateOpenPartition
pos=80284550 len=356 sym=cbForStateOpenPartition2
pos=802846c0 len=456 sym=cbForStateCheckID1
pos=80284890 len=404 sym=cbForStateCheckID2
pos=80284b00 len=592 sym=ResetAlarmHandler
pos=80284d50 len=228 sym=cbForStateReset
pos=80284e40 len=200 sym=stateDownRotation
pos=80284f10 len=576 sym=cbForStateDownRotation
pos=80285150 len=376 sym=stateCoverClosed_CMD
pos=802852d0 len=216 sym=cbForStateCoverClosed
pos=802853b0 len=392 sym=cbForPrepareCoverRegister
pos=80285570 len=796 sym=stateReady
pos=80285890 len=1456 sym=stateBusy
pos=80285e40 len=2528 sym=cbForStateBusy
pos=80286820 len=228 sym=DVDReadAbsAsyncPrio
pos=80286910 len=216 sym=DVDInquiryAsync
pos=802869f0 len=200 sym=DVDGetCommandBlockStatus
pos=80286ac0 len=156 sym=DVDGetDriveStatus
pos=80286b70 len=80 sym=DVDResume
pos=80286f30 len=192 sym=DVDCancel
pos=80287010 len=204 sym=__DVDGetCoverStatus
pos=802870e0 len=288 sym=DVDIsDiskIdentified
pos=80287200 len=284 sym=__DVDPrepareResetAsync
pos=80287330 len=312 sym=__DVDPrepareReset
pos=80287470 len=32 sym=__DVDTestAlarm
pos=802874f0 len=104 sym=__DVDPushWaitingQueue
pos=80287560 len=160 sym=__DVDPopWaitingQueue
pos=80287600 len=88 sym=__DVDCheckWaitingQueue
pos=80287660 len=100 sym=__DVDGetNextWaitingQueue
pos=802876d0 len=96 sym=__DVDDequeueWaitingQueue
pos=80287760 len=92 sym=cbForNandWrite
pos=802877c0 len=252 sym=cbForNandSeek
pos=802878c0 len=340 sym=cbForNandWrite0
pos=80287a20 len=188 sym=cbForNandSeek2
pos=80287ae0 len=232 sym=cbForNandRead
pos=80287bd0 len=160 sym=cbForNandSeek0
pos=80287c70 len=256 sym=cbForNandSeek1
pos=80287d70 len=284 sym=cbForNandOpen
pos=80287e90 len=160 sym=cbForNandCreate
pos=80287f30 len=148 sym=cbForNandCreateDir
pos=80287fd0 len=144 sym=cbForPrepareControlRegister
pos=80288060 len=120 sym=cbForPrepareStatusRegister
pos=802883c0 len=636 sym=__DVDCheckDevice
pos=80288640 len=184 sym=doTransactionCallback
pos=80288700 len=188 sym=doPrepareCoverRegisterCallback
pos=802887c0 len=80 sym=DVDLowFinalize
pos=80288810 len=612 sym=DVDLowInit
pos=80288a80 len=396 sym=DVDLowReadDiskID
pos=80288c10 len=620 sym=DVDLowOpenPartition
pos=80288e80 len=612 sym=DVDLowOpenPartitionWithTmdAndTicketView
pos=802890f0 len=528 sym=DVDLowGetNoDiscBufferSizes
pos=80289300 len=664 sym=DVDLowGetNoDiscOpenPartitionParams
pos=802895a0 len=360 sym=DVDLowClosePartition
pos=80289710 len=408 sym=DVDLowUnencryptedRead
pos=802898b0 len=408 sym=DVDLowStopMotor
pos=80289a50 len=364 sym=DVDLowInquiry
pos=80289bc0 len=360 sym=DVDLowRequestError
pos=80289d40 len=380 sym=DVDLowReset
pos=80289ec0 len=408 sym=DVDLowAudioBufferConfig
pos=8028a060 len=408 sym=DVDLowReportKey
pos=8028a200 len=388 sym=DVDLowSetMaximumRotation
pos=8028a390 len=432 sym=DVDLowRead
pos=8028a540 len=384 sym=DVDLowSeek
pos=8028a6c0 len=16 sym=DVDLowGetCoverRegister
pos=8028a6f0 len=364 sym=DVDLowPrepareCoverRegister
pos=8028a860 len=364 sym=DVDLowPrepareStatusRegister
pos=8028a9d0 len=364 sym=DVDLowPrepareControlRegister
pos=8028ab70 len=360 sym=DVDLowClearCoverInterrupt
pos=8028ae90 len=2060 sym=__VIRetraceHandler
pos=8028b740 len=280 sym=getTiming
pos=8028b860 len=512 sym=__VIInit
pos=8028ba60 len=1352 sym=VIInit
pos=8028bfb0 len=84 sym=VIWaitForRetrace
pos=8028c2c0 len=224 sym=setHorizontalRegs
pos=8028c3a0 len=404 sym=setVerticalRegs
pos=8028c540 len=1740 sym=VIConfigure
pos=8028d090 len=108 sym=VISetNextFrameBuffer
pos=8028d100 len=120 sym=VISetBlack
pos=8028d190 len=156 sym=VIGetNextField
pos=8028d230 len=144 sym=VIGetCurrentLine
pos=8028d2c0 len=96 sym=VIGetTvFormat
pos=8028d320 len=96 sym=VIGetScanMode
pos=8028d380 len=60 sym=VIGetDTVStatus
pos=8028d3c0 len=564 sym=__VIDisplayPositionToXY
pos=8028d600 len=248 sym=VISetTimeToDimming
pos=8028db10 len=1332 sym=__VISendI2CData
pos=8028e050 len=160 sym=__VISetYUVSEL
pos=8028e0f0 len=64 sym=__VISetFilter4EURGB60
pos=8028e130 len=88 sym=__VISetCGMS
pos=8028e190 len=100 sym=__VISetWSS
pos=8028e200 len=108 sym=__VISetClosedCaption
pos=8028e270 len=3448 sym=__VISetMacrovision
